	id	text	latitude	longitude	trend	neg	neu	pos	compound
0	1418280455774801927	SIM DEAD SPACE SIM https://t.co/kY9umjgQjd	41	-111	Dead Space	0.557	0.443	0.0	-0.7213
1	1418275694157602816	I’m super excited for the new dead space game, I loved the other 3 dead space games!! #deadspace #EAPlayLive2021	41	-111	Dead Space	0.274	0.382	0.344	0.2924
2	1418275158842769412	Fuck yes Dead Space remake is coming soon!!! One of my all time favorite games and definitely one of the scariest. I’m so excited https://t.co/2UG4TArrpU	41	-111	Dead Space	0.199	0.485	0.316	0.5562
3	1418275040747950089	"You know, it'll be fun to play Dead Space again, because nothing says: ""I'm not afraid of the dark"" like screaming unintelligible gibberish and crying while stomping on the dismembered corpses of nightmares that fell right out of a David Cronenberg film."	41	-111	Dead Space	0.188	0.658	0.154	-0.4215
4	1418273975491186688	Dead Space Remake	41	-111	Dead Space	0.683	0.317	0.0	-0.6486
5	1418270906653155328	@IGN Can’t wait for those dead space loot boxes.	41	-111	Dead Space	0.35	0.65	0.0	-0.6486
6	1418270620077367296	@BravesSwearJar I tried playing Dead Space once and I think I pooped myself	41	-111	Dead Space	0.305	0.567	0.128	-0.5423
7	1418269121368576002	Dead Space Official Teaser Trailer – EA Play Live 2021 https://t.co/4Hz7VsbcD8 來自 @YouTube	41	-111	Dead Space	0.356	0.508	0.136	-0.5994
8	1418268945371471874	Next-gen exclusive Dead Space remake. I'm ridiculously excited. https://t.co/UYBEM9MfWt	41	-111	Dead Space	0.429	0.321	0.25	-0.5859
9	1418268607847575555	Dead Space!!!!! https://t.co/cFuaHEmyEk	41	-111	Dead Space	0.732	0.268	0.0	-0.7556
10	1418268604848504834	I can't begin to explain how giddy the Dead Space reveal got me.	41	-111	Dead Space	0.371	0.629	0.0	-0.7096
11	1418010001575071744	@tungholio Of that list, Dead Space	41	-111	Dead Space	0.462	0.538	0.0	-0.6486
12	1417985548166176770	I'm really excited for EA Play Live tomorrow. I think it's going to be a good show. Even if the Dead Space rumor doesn't turn out to be true, we'll still get to see Knockout City Season 2 which I can't wait for.	41	-111	Dead Space	0.088	0.693	0.22	0.6697
13	1417684658582482944	"my dad was like “aww my daughter so young at heart watching cartoons still”
and he was dead serious 
I don’t think they realize anything can be nsfw in fandom space?"	41	-111	Dead Space	0.16	0.769	0.071	-0.4767
14	1417681428213501961	@CallistoTheGame Now THAT is a scary looking set for the game. I’m so exited for this next project. Hopefully it won’t stray far from the roots of Dead Space ❤️@CallistoTheGame	41	-111	Dead Space	0.207	0.718	0.075	-0.7003
15	1417645314798882817	@mikefranchina_ Getting a very Dead Space vibe here.	41	-111	Dead Space	0.434	0.566	0.0	-0.6801
16	1417621715073441793	@vc The hardware needed to perform an airfield launch and landing are dead weight in the atmosphere of space, and cuts into your payload to orbit. You've got to speed up wings and landing gear, etc to ~27000 km/hour if you want to carry them with you.	41	-111	Dead Space	0.125	0.849	0.025	-0.7351
17	1416927146300239876	"They hung us both as us in our own space! Like you can only hang a guy for your self if he's hurting your heart you hang him to stay safe and your hoping they care and doesn't stay hung, n
ever someone else Gigi and Spencer both sat and ""hung"" at us as dead to the earth baby"	41	-111	Dead Space	0.1	0.732	0.168	0.5707
18	1416643796943601670	Just beat Dead Space 3, gg and goodnight	41	-111	Dead Space	0.344	0.48	0.176	-0.4767
19	1416186439922946049	"@pfitzart @jablan She ran away with the robot head. She found a way to feed it and secretly work with it. Probably w the help of several of ""the bitches."" It was originally for food and space travel b/c they were from the dead side, which made earth an ""abomination of desolation,"" i.e., a desert."	41	-111	Dead Space	0.075	0.877	0.047	-0.3818
20	1418284870162259969	"#DarkPoolAbuse
Sorry to interrupt you but...

This is my first Dick Pic.

Am I doing this right? https://t.co/OkQPKU1LOR"	41	-111	#DarkPoolAbuse	0.333	0.667	0.0	-0.7184
21	1418279175232786437	#DarkPoolAbuse #DarkPool #AMCARMY #AMC #GME #GMEtothemoon #amcshortsqueeze #AMCSqueeze #APESNOTLEAVING #AMCSTRONG #GameStop #SECSILENT #SEC #SECSilence https://t.co/E4v4vdubkq	41	-111	#DarkPoolAbuse	0.0	1.0	0.0	0.0
22	1418267340022575104	"The money is the government, the rules bought and made in it's own favor. Always has been, always will be. Don't be fooled by the smoke and mirrors of ethics, morals and ""laws"".

 #DarkPoolAbuse"	41	-111	#DarkPoolAbuse	0.0	0.868	0.132	0.5972
23	1418247255585218562	There is absolutely no free market with 73% #DarkPoolAbuse	41	-111	#DarkPoolAbuse	0.191	0.536	0.274	0.2698
24	1418263851930296320	#NFL Translation: go fuck yourself Cole Beasley https://t.co/IjViRftfGi	41	-111	Cole Beasley	0.333	0.667	0.0	-0.5423
25	1417681658665267200	@mcuban @ColleenD__ Who the fuck cares what Cole Beasley thinks?	41	-111	Cole Beasley	0.241	0.552	0.207	-0.128
26	1417498787505971204	Cole Beasley reminds me of people that think I’m crazy for eating ribs and bacon but they pop percs lmaooo n*gga if you don’t get out of my face 😂😂😂	41	-111	Cole Beasley	0.055	0.945	0.0	-0.1779
27	1415840135573245957	What if Tyron Woolley, Damian Lillard, and Cole Beasley tried to form a rap supergroup?! 😂😂🙃🙊	41	-111	Cole Beasley	0.0	1.0	0.0	0.0
28	1417492215878852615	The SKATE Teaser Was Just That, A Tease @skateEA #Skate #GamingNews #Skateboarding #EAPlayLive  https://t.co/UXuN938wzo	41	-111	#EAPlayLive	0.281	0.719	0.0	-0.5106
29	1417170086813573125	Full Circle Teases A Sneak Peak At Their New SKATE Game To Go Live Today @skateEA #FullCircle #Skate #EAPlayLive #GamingNews  https://t.co/aw3SeSzbCW	41	-111	#EAPlayLive	0.104	0.896	0.0	-0.296
30	1418284109047111680	I'm so, so excited for DUNE! Hans Zimmer's score is going to be amazing and this new trailer just makes me even more excited. https://t.co/2fOvDto4f6	41	-111	Dune	0.0	0.666	0.334	0.9005
31	1418281866038169602	This week could not get better. Deznasty got called out. Healthy discussion about health and LDS clothing items. And now the new Dune trailer https://t.co/ZuwigH3ovc	41	-111	Dune	0.086	0.818	0.096	0.0757
32	1418278577586393091	"Oh my fucking God I just realized that the game dune 2000 was called the dune because sand dunes are a thing;;;; and I never made the connection because I never understood the word dune to mean anything but the name of the game xD

English second language problems lol...."	41	-111	Dune	0.066	0.805	0.129	0.5182
33	1418277763572658176	Dune rated pg-13 and less than 3 hours… I smell a directors cut	41	-111	Dune	0.189	0.811	0.0	-0.2732
34	1418277674108145665	"attn nerds there is a new Dune trailer

https://t.co/CboHLu8e1C"	41	-111	Dune	0.0	1.0	0.0	0.0
35	1418268643121672196	@TheQuartering I am PRAYING that Dune is awesome...but I domt have hope.	41	-111	Dune	0.0	0.566	0.434	0.7297
36	1418265284129918980	"Dune: ""Don't worry, in Fremen culture, women aren't sexually assaulted.""

Also Dune: ""But if you kill one's husband, she becomes your property."""	41	-111	Dune	0.232	0.708	0.06	-0.7812
37	1418264339329392645	Alright, fine, the Dune trailer looks pretty good. I'm not seeing the subversive nature of the book in there so much, though, - but it is only a trailer. Here's hoping.	41	-111	Dune	0.0	0.657	0.343	0.8395
38	1418261071941410816	the denis villeneuve dune movie is going to lead into a dune franchise which will be the next LOTR movies. (without the happiness of the LOTR movies because everyone has depression nowadays.)	41	-111	Dune	0.102	0.799	0.099	-0.0258
39	1418260456330842112	I was already hyped for Dune because of the stacked cast. Then the trailer dropped today, and I’m even more excited!!! It looks so good!!!	41	-111	Dune	0.0	0.743	0.257	0.8226
40	1418259502789324802	@senorpaco @kriten did you know they’re also making a Dune-related television series?	41	-111	Dune	0.0	1.0	0.0	0.0
41	1418247212190998533	"🚨Friday 7:30 MST🚨

New Episode of Gaggle of Geeks LIVE!

Talking about Dune, Old, Critically Acclaimed Films, with Special Guest Chris Adler!

#Podcast #MoviePodcast #Instapod #GaggleofGeeks #Livestream #ComedyPodcast #Oldthemovie #old #snakeeyes #GIJoe https://t.co/gHEewY06lQ"	41	-111	Dune	0.039	0.869	0.092	0.4374
42	1418242233132720130	me and my wife watching Dune when bearded Oscar Isaac shows up https://t.co/knyCGEWpIC	41	-111	Dune	0.0	1.0	0.0	0.0
43	1418240713918087169	@GeekBomb So @KrimsonRogue can make an episode about how the Dune books were better XD https://t.co/7nveaCBY7E	41	-111	Dune	0.0	0.653	0.347	0.8143
44	1418237151548895234	"I guess it's time to get hype for Dune.

Do I read the book before or after the movie?"	41	-111	Dune	0.0	1.0	0.0	0.0
45	1418234604180283397	Oh, oh my, that Dune trailer... https://t.co/vfRSVFvbRn	41	-111	Dune	0.0	1.0	0.0	0.0
46	1418233434703503368	Saw like 25 min of #dune last night. Absolutely stellar stuff. It’s gonna blow people away guaranteed	41	-111	Dune	0.0	0.865	0.135	0.3612
47	1418231514567897088	No Dune trailer for me. I shall resist.	41	-111	Dune	0.268	0.732	0.0	-0.296
